ID,State,Region,Year,tax,T,c,K,E,mu,lam,D,Y,L,A,sigma,th1,pb,EL
3653,10,India,2045,105.3958992189993,1.6291561747661816,6.626190686964431,25.381077090577037,0.9105938313070877,0.27888995400552724,0.0009493952076720074,0.011645825781062425,13.962869393262341,1.5430528292632881,3.906205656844665,0.09043748622608407,0.033902755475174705,1049.6500875,0.0
3654,10,India,2055,137.94896319696372,1.8553606096833017,8.715864198336575,35.64466201749245,0.9613550205844957,0.3320707381173817,0.0012690935283682508,0.01400659496404733,18.554562386750675,1.5547444927218086,4.66327520826712,0.07757157557058247,0.027800200520360956,1003.4675831249999,0.0
3655,10,India,2065,175.2520956711687,2.068476089864289,11.155003825801906,47.24101913914062,0.9712737976313089,0.38883399224775184,0.001640230965565327,0.01639668540184174,23.58016761395946,1.5396147111605594,5.483560935497179,0.0673962284284741,0.0230975107747563,959.59420396875,0.0
3656,10,India,2075,216.41319678615181,2.263057401574071,13.89632131814312,59.8730733992371,0.9535585330719208,0.4481037912193318,0.0020516055611681963,0.018719503695049596,29.167580545904375,1.5246321629814914,6.360853397222648,0.05923652046902452,0.01941930739251407,917.9144937703124,0.0
3657,10,India,2085,261.4485852038366,2.436233515782713,16.96361909898033,73.8609179691638,0.9111591902873771,0.5100703436739019,0.0025056516601365307,0.02089966248078532,35.35071278146986,1.5097954154032558,7.288381433031885,0.05260927975410275,0.016502756369965507,878.3187690817967,0.0
3658,10,India,2095,313.1982862661066,2.586360862773015,20.35782875310909,89.28662162032506,0.8386443218574031,0.5777832218930534,0.0030480944924440668,0.022875670894894222,42.1153262484175,1.495103049587419,8.259133061112266,0.04716307946801995,0.014160762289244237,840.7028306277069,0.0
3659,10,India,2105,359.5387615257985,2.7130712045553547,24.077878937302913,106.10903387713998,0.7602529154192564,0.6390537270528039,0.0034988658784924076,0.0246056250780377,49.39844706763596,1.4795416228087805,9.266133588044827,0.0426385312399054,0.012258085699517132,804.9676890963216,0.0
3660,10,India,2115,420.1296740741018,2.8083547002642733,28.104107850225443,124.19244865802645,0.6353467893776807,0.7136907343047401,0.004159412169442571,0.025944000114130363,57.13192568962086,1.4631413439062757,10.302672814841461,0.038841551917955325,0.010695566553921017,771.0193046415055,0.0
3661,10,India,2125,494.8320763245227,2.8722463163579404,32.409122036729215,143.35269495690937,0.4641196685907159,0.800396749148278,0.0050391915863661355,0.026859460362287004,65.26894934275622,1.4469228572182877,11.36247914435151,0.035625071243342035,0.009399526687066586,738.7683394094302,0.0
3662,10,India,2135,580.0211055755525,2.9028935345701212,36.97677806294188,163.4791683100565,0.2544575628270052,0.8950565448762826,0.006095642582233124,0.027303718535612587,73.75250035637818,1.4308841476321794,12.439842788017804,0.03287632433279276,0.008314538928520923,708.1299224389587,0.0
3663,10,India,2145,595.6082661838259,2.9036950315883723,41.84106753095454,184.4519772524352,0.17681631860014418,0.9297700076169977,0.0060337943088937945,0.0273153816043973,82.52536228705856,1.4150232223722394,13.529693179494716,0.030507897826690764,0.007398420468574588,679.0234263170107,0.0
3664,10,India,2155,651.3722550011602,2.878582647765996,46.93420929353643,206.4030449807497,0.0,1.0,0.006618718278062929,0.026951038023411797,91.56613387480162,1.399338110752081,14.627637330419653,0.028451336445920915,0.006618718278062929,651.3722550011602,0.0
3665,10,India,2165,625.1036422511021,2.833291183315242,52.30905779480158,228.96122712321284,0.0,1.0,0.005950209849087596,0.026299576789036837,100.78911004447028,1.3838268639297913,15.729966481236314,0.02665252040037349,0.005950209849087596,625.1036422511021,0.0
3666,10,India,2175,600.148460138547,2.778732210093296,57.90732357831141,252.35297605265973,0.0,1.0,0.005373104223854542,0.02552446845396883,110.19175926557364,1.3684875546657893,16.833638288157182,0.02506828364321652,0.005373104223854542,600.148460138547,0.0
3667,10,India,2185,576.4410371316195,2.7216229259228517,63.69300169249577,276.2638889512583,0.0,1.0,0.004871732203937512,0.02472443017759944,119.70399225822162,1.3533182770833725,17.9362411992009,0.02366391233854921,0.004871732203937512,576.4410371316195,0.0
3668,10,India,2195,553.9189852750386,2.6659425083682406,69.64010180782029,300.4978990168338,0.0,1.0,0.004433582395084583,0.023955538454148807,129.2761007103843,1.3383171464319146,19.035946815222378,0.02241127499912802,0.004433582395084583,553.9189852750386,0.0
3669,10,India,2205,532.5230360112866,2.6138999667099387,75.54500660214421,324.9138435446557,0.0,1.0,0.004048584532869187,0.02324681745469368,139.65801653968344,1.3342245054294342,20.131455063084537,0.02128741092017935,0.004048584532869187,532.5230360112866,0.0
3670,10,India,2215,512.1968842107223,2.566576194155239,81.4862984883548,351.3859986891274,0.0,1.0,0.0037085715246345,0.02261069071918917,151.2540557830186,1.3409406601043168,21.221936037618736,0.02027345458178252,0.0037085715246345,512.1968842107223,0.0
3671,10,India,2225,492.8870400001862,2.5243484461044394,87.69475693169151,380.92890322050164,0.0,1.0,0.003406871970741178,0.022049766470040828,163.45828354086765,1.3476906222332172,22.30697146705254,0.019353808771420924,0.003406871970741178,492.8870400001862,0.0
3672,10,India,2235,474.54268800017684,2.487169413995543,94.05670376822783,412.0155538201508,0.0,1.0,0.003137998867091291,0.021561137872352677,176.06736848172088,1.3544745619944596,23.386497962362647,0.01851550355750575,0.003137998867091291,474.54268800017684,0.0
3673,10,India,2245,457.11555360016797,2.4547491400072605,100.53181254181135,444.1302804038026,0.0,1.0,0.002897409854989723,0.021139050491384,189.01183432710832,1.3612926504230038,24.46075354111868,0.017747695369533023,0.002897409854989723,457.11555360016797,0.0
3674,10,India,2255,228.55777680008399,2.4266720970765094,107.2438347932741,477.0949160123977,0.0,1.0,0.0013910412062568208,0.02077651891111387,202.26867931021556,1.3681450594147566,25.5302283720345,0.017041272592207272,0.0013910412062568208,228.55777680008399,0.0
3675,10,India,2265,114.27888840004199,2.402471130230647,114.02350140044673,511.5101519587604,0.0,1.0,0.0006688801615001759,0.020466277479418683,215.916263411911,1.3750319617309064,26.595620259292005,0.01638854278704906,0.0006688801615001759,114.27888840004199,0.0
3676,10,India,2275,57.139444200020996,2.381672837090463,120.85145431549878,546.5840350206546,0.0,1.0,0.0003220824548511397,0.02020131483239251,229.8582229987387,1.3819535310022784,27.657795062183464,0.01578298295003121,0.0003220824548511397,57.139444200020996,0.0
3677,10,India,2285,28.569722100010498,2.3638241837993457,127.74113266780633,582.230694330568,0.0,1.0,0.00015528703903440322,0.019975151971413595,244.09047391016057,1.3889099417337123,28.717752010009114,0.01521903880528713,0.00015528703903440322,28.569722100010498,0.0
3678,10,India,2295,14.284861050005249,2.3485069322125183,134.70885915746067,618.5212507220313,0.0,1.0,7.495451536916787e-5,0.019781965160596812,258.6304861045756,1.3959013693084616,29.776593708594334,0.014691962511850468,7.495451536916787e-5,14.284861050005249,0.0
